Symbol
QQQ
AAPL
TSLA
NFLX
AMZN 
MSFT 
NVDA 
ADBE 
PYPL
INTC
CSCO
AVGO 
QCOM
TXN
AMD
ZM
INTU 
FISV
ADP 
MU
